row_index,group_id,dose_um,recording_id,control_recording_id,delta_log__isi_cv_mean,delta_log__isi_median_s
0,2950,0.0,control_2950,control_2950,0.0,0.0
1,2950,3.0,diazepam3uM_2950,control_2950,0.0015396970827643575,-0.006826715324267204
2,2950,10.0,diazepam10uM_2950,control_2950,-0.10421137652466583,-0.00828602357694062
3,2950,30.0,diazepam30uM_2950,control_2950,-0.2193829143459659,0.07086703709176678
4,2950,50.0,diazepam50uM_2950,control_2950,-0.44098090657429745,0.6825513466381927
5,2953,0.0,control_2953,control_2953,0.0,0.0
6,2953,3.0,diazepam3uM_2953,control_2953,-0.0004304607012625139,-0.0737690095483941
7,2953,10.0,diazepam10uM_2953,control_2953,-0.0113083917399448,-0.10426552512959159
8,2953,30.0,diazepam30uM_2953,control_2953,-0.08329819168477004,0.09651822088889456
9,2953,50.0,diazepam50uM_2953,control_2953,-0.22249669394857607,0.7942248019921849
10,2954,0.0,control_2954,control_2954,0.0,0.0
11,2954,3.0,diazepam3uM_2954,control_2954,0.02026141270861237,0.058102217896945474
12,2954,10.0,diazepam10uM_2954,control_2954,0.03155866861697365,0.11107748172788756
13,2954,30.0,diazepam30uM_2954,control_2954,-0.03622002470045127,0.6207399088988488
14,2954,50.0,diazepam50uM_2954,control_2954,-0.03300309268513246,0.6609360092641945
15,2957,0.0,control_2957,control_2957,0.0,0.0
16,2957,3.0,diazepam3uM_2957,control_2957,-0.16876611454151558,-0.03142219880918873
17,2957,10.0,diazepam10uM_2957,control_2957,-0.06229932326335097,-0.12271777436954057
18,2957,50.0,diazepam50uM_2957,control_2957,-0.11991698615410895,-0.2594787736982219
