component,feature,loading
PC1,firing_rate_mean_hz,-0.029244884710665598
PC1,firing_rate_median_hz,-0.03443912455106649
PC1,firing_rate_std_hz,-0.018442544277329012
PC1,firing_rate_max_hz,-0.02151299793021259
PC1,firing_rate_cv,0.0515079857509687
PC1,active_channel_fraction,-0.0809257384037121
PC1,dominant_channel_fraction,0.03168299804658058
PC1,isi_median_s,0.989942544062185
PC1,isi_cv_mean,-0.037885543328047125
PC1,sttc_mean,-0.029443456825561626
PC1,sttc_median,-0.024086950439536237
PC1,sttc_max,-0.007980062006820431
PC1,network_density,-0.027908465596699718
PC1,network_clustering,-0.03526043567458879
PC1,population_entropy,0.004737296830842296
PC1,network_burst_rate_per_min,-0.019238997456829235
PC1,network_burst_mean_duration_s,-0.036235921223455154
PC1,network_burst_participation,-0.017021996820542465
PC2,firing_rate_mean_hz,-0.15515823347574084
PC2,firing_rate_median_hz,-0.08599451657370717
PC2,firing_rate_std_hz,-0.23870726109439813
PC2,firing_rate_max_hz,-0.22653818905736575
PC2,firing_rate_cv,-0.18931444683656914
PC2,active_channel_fraction,0.06057905276626259
PC2,dominant_channel_fraction,-0.1504240702662939
PC2,isi_median_s,0.059680312560216615
PC2,isi_cv_mean,0.19575389316269706
PC2,sttc_mean,0.39466697086443775
PC2,sttc_median,0.4481712937028697
PC2,sttc_max,0.2396789442889215
PC2,network_density,0.33794737632009064
PC2,network_clustering,0.2521436017155365
PC2,population_entropy,-0.336191505291497
PC2,network_burst_rate_per_min,-0.10064117503857015
PC2,network_burst_mean_duration_s,0.20041351236239083
PC2,network_burst_participation,-0.03228546612071406
PC3,firing_rate_mean_hz,0.4051328352522816
PC3,firing_rate_median_hz,0.4062422674799912
PC3,firing_rate_std_hz,0.3539008743306894
PC3,firing_rate_max_hz,0.37596899239087067
PC3,firing_rate_cv,-0.054203631421402075
PC3,active_channel_fraction,0.13658724003490968
PC3,dominant_channel_fraction,-0.05818363696702839
PC3,isi_median_s,0.0931343315963983
PC3,isi_cv_mean,0.11968645785794939
PC3,sttc_mean,0.1617886427970376
PC3,sttc_median,0.20803815374069293
PC3,sttc_max,0.1350094173569923
PC3,network_density,0.16594097003282993
PC3,network_clustering,0.03703957941896516
PC3,population_entropy,0.2717573183587129
PC3,network_burst_rate_per_min,0.02829161172946313
PC3,network_burst_mean_duration_s,0.29672977221243385
PC3,network_burst_participation,0.2774265097244778
PC4,firing_rate_mean_hz,-0.09299632532688
PC4,firing_rate_median_hz,-0.30373190533866806
PC4,firing_rate_std_hz,0.17014344503651987
PC4,firing_rate_max_hz,0.18053522349696866
PC4,firing_rate_cv,0.4788108773223542
PC4,active_channel_fraction,-0.23739115033678052
PC4,dominant_channel_fraction,0.4844481698833079
PC4,isi_median_s,-0.05785056504847328
PC4,isi_cv_mean,-0.1867938866679496
PC4,sttc_mean,0.14174925415374603
PC4,sttc_median,0.4645599444514999
PC4,sttc_max,-0.10185745188404241
PC4,network_density,0.12137093188599041
PC4,network_clustering,-0.10595306621171241
PC4,population_entropy,0.03385595902291913
PC4,network_burst_rate_per_min,-0.04907971043205405
PC4,network_burst_mean_duration_s,0.056685320463278906
PC4,network_burst_participation,0.002192756288038369
PC5,firing_rate_mean_hz,-0.036039005835311604
PC5,firing_rate_median_hz,0.03962397906359243
PC5,firing_rate_std_hz,-0.12771582278208676
PC5,firing_rate_max_hz,-0.23126955779824876
PC5,firing_rate_cv,-0.09908008261774284
PC5,active_channel_fraction,-0.09954941979116554
PC5,dominant_channel_fraction,-0.2451602709243923
PC5,isi_median_s,-0.019823420217853115
PC5,isi_cv_mean,-0.3232637608175222
PC5,sttc_mean,-0.10050623556204001
PC5,sttc_median,0.1775558310113291
PC5,sttc_max,-0.29412856148273503
PC5,network_density,-0.02660467430314825
PC5,network_clustering,-0.25248808550868196
PC5,population_entropy,0.05003342761600998
PC5,network_burst_rate_per_min,-0.44220933425521636
PC5,network_burst_mean_duration_s,0.12030158781787431
PC5,network_burst_participation,0.5809381334746261
